STT,Câu hỏi,1,2,3,4,Đáp án
1720,"Theo Quyết định số 2303/QĐ-NHNo-ĐCTC, trường hợp Khách hàng có nhu cầu mua ngoại tệ để thanh toán cho hợp đồng ngoại thương sẽ đến hạn thanh toán vào ngày 31/5/2019, tại ngày Khách hàng đề nghị mua ngoại tệ (giả sử là ngày 19/5/2019), Chi nhánh có thể thực hiện giao dịch nào sau đây?",A. Bán ngoại tệ giao ngay cho Khách hàng.,B. Bán ngoại tệ giao ngay có ngày hiệu lực là ngày giao dịch cho Khách hàng,C. Từ chối thực hiện giao dịch,D. Bán ngoại tệ kỳ hạn cho Khách hàng.,4
1721,Theo Quyết định số 2345/QyĐ-NHNo-CSKH ngày 29/9/2023 điểm khách hàng được áp dụng cho đối tượng khách hàng nào?,Khách hàng phân loại trực tiếp,Khách hàng phân loại gián tiếp,Khách hàng phân loại trực tiếp và khách hàng phân loại gián tiếp,Tất cả đối tượng khách hàng bao gồm cả khách hàng tiềm năng,1
1722,"Theo Quyết định số 2345/QyĐ-NHNo-CSKH ngày 29/9/2023, điểm quy đổi số dư tiền vay bình quân đối với khách hàng cá nhân là bao nhiêu?",100 điểm= 50 triệu đồng,100 điểm= 100 triệu đồng,100 điểm= 330 triệu đồng,100 điểm= 660 triệu đồng,4
1723,"Theo Quyết định số 2345/QyĐ-NHNo-CSKH ngày 29/9/2023, khách hàng VIP của Agribank được phân loại thành bao nhiêu hạng?",1 hạng,2 hạng,3 hạng,4 hạng,4
1724,"Theo Quyết định số 35/QĐ-HĐTV-HSX ngày 15/01/2014 của HĐTV Agribank, Hợp đồng tín dụng bị hủy bỏ nhưng các bên đã thực hiện một phần thì (nếu có giao dịch bảo đảm):",A. Giao dịch bảo đảm chấm dứt.,B. Giao dịch bảo đảm không chấm dứt.,C. Giao dịch bảo đảm vô hiệu.,D. Giao dịch bảo đảm không vô hiệu.,2
1725,"Theo Quyết định số 35/QĐ-HĐTV-HSX, thời điểm giao dịch bảo đảm có giá trị pháp lý đối với người thứ ba có hiệu lực từ khi:",A. Thông báo bằng văn bản cho bên bảo đảm và các bên cùng nhận bảo đảm khác (nếu có) về việc xử lý tài sản.,B. Thực hiện việc xử lý tài sản bảo đảm.,C. Thanh toán tiền thu được từ việc xử lý tài sản bảo đảm theo thứ tự ưu tiên thanh toán.,D. Cả 3 đáp án trên.,4
1726,"Theo Quyết định số 656/QĐ-HĐTV-KHNV ngày 15/8/2019, khách hàng nào dưới đây không thuộc đối tượng gửi tiền gửi có kỳ hạn?","Người cư trú là tổ chức, cá nhân","Cơ quan đại diện ngoại giao, lãnh sự, cơ quan đại diện của tổ chức quốc tế tại Việt Nam; Văn phòng đại diện, văn phòng dự án của các tổ chức nước ngoài tại Việt Nam",Cá nhân nước ngoài được phép cư trú tại Việt Nam với thời hạn dưới 6 (sáu) tháng.,"Công dân Việt Nam đi du lịch, học tập, chữa bệnh và thăm viếng ở nước ngoài",3
1727,"Theo Quyết định số 978/QĐ-NHNo-NCPT ngày 18/5/2020 của Tổng Giám đốc, Ban hành Quy định về một số sản phẩm Tiền gửi có kỳ hạn trong hệ thống Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam, đối với khách hàng tổ chức gửi tiền có kỳ hạn tại Agribank, khách hàng chịu phí đóng sớm khi số ngày gửi tiền thực tế nhỏ hơn bao nhiêu ngày?",03 ngày,05 ngày,07 ngày,10 ngày,1
1728,"Theo Quyết định số số 2345/QyĐ-NHNo-CSKH ngày 29/09/2023, khách hàng được Agribank phân loại thành bao nhiêu nhóm?",1 nhóm,2 nhóm,3 nhóm,4 nhóm,3
1729,"Theo Thông tư 48/2018/ TT-NHNN ngày 31/12/2018 của NHNN, giao dịch tiền gửi tiết kiệm gồm giao dịch gì?","Giao dịch nhận, gửi tiền gửi tiết kiệm; Chi trả, rút tiền gửi tiết kiệm",Sử dụng tiền gửi tiết kiệm làm tài sàn bào đàm,Chuyển giao quyền sở hữu tiền gửi tiết kiệm,Tất cả đáp án trên,4
1730,"Theo Thông tư 49/2018/ TT-NHNN ngày 31/12/2018 của NHNN, định nghĩa tiền gửi có kỳ hạn là gì?",Khoản tiền của khách hàng gửi tại TCTD,Khoản tiền gửi có kỳ hạn của khách hàng gửi tại TCTD,Khoản tiền của khách hàng gửi tại TCTD có kỳ hạn nhất định,"Khoản tiền của khách hàng gửi tại TCTD trong một thời gian nhất định theo thỏa thuận giữa khách hàng và TCTD với nguyên tắc hoàn trả đầy đủ tiền gốc, lãi cho khách hàng",4
1731,"Theo Thông tư số 09/2023/TT-NHNN, Agribank chỉ được thực hiện giao dịch chuyển tiền điện tử khi:","Lệnh chuyển tiền điện tử có đầy đủ, chính xác thông tin theo quy định của pháp luật về giao dịch thẻ","Lệnh chuyển tiền điện tử có đầy đủ, chính xác thông tin theo quy định của pháp luật về mở và sử dụng tài khoản thanh toán","Lệnh chuyển tiền điện tử có đầy đủ, chính xác thông tin theo quy định của pháp luật về thanh toán không dùng tiền mặt và quản lý ngoại hối","Lệnh chuyển tiền điện tử có đầy đủ, chính xác thông tin theo quy định của pháp luật về bảo vệ dữ liệu cá nhân",3
1732,"Theo Thông tư số 09/2023/TT-NHNN, trường hợp ngày gửi báo cáo dữ liệu điện tử trùng với ngày nghỉ Tết thì ngày gửi báo cáo là",Ngày làm việc tiếp theo sau ngày nghỉ Tết,Ngày làm việc thứ hai sau ngày nghỉ Tết,Ngày làm việc thứ ba sau ngày nghỉ Tết,,1
1733,"Theo thuyết tháp nhu cầu của Maslow, đâu không phải là một bậc nhu cầu của con người?",A. Nhu cầu được tôn trọng.,B. Nhu cầu sinh lý.,"C. Nhu cầu về an toàn, an ninh.",D. Nhu cầu được tự do phát triển.,4
1734,"Theo thuyết tháp nhu cầu của Maslow, nhu cầu bậc 3 của con người là:","A. Nhu cầu về an toàn, an ninh.",B. Nhu cầu được tôn trọng.,C. Nhu cầu sinh lý.,D. Nhu cầu về xã hội.,4
1735,"Theo thuyết tháp nhu cầu của Maslow, nhu cầu bậc 4 của con người là:",A. Nhu cầu về xã hội.,B. Nhu cầu sinh lý.,"C. Nhu cầu về an toàn, an ninh.",D. Nhu cầu được tôn trọng.,4
1736,"Theo Văn bản số 3136/QTr-NHNo-CSKH, cơ hội bán hàng là gì?","Là việc giới thiệu về các sản phẩm, dịch vụ của Agribank tới khách hàng","Là nhận biết, giới thiệu, tư vấn và tiếp nhận nhu cầu về sử dụng sản phẩm, dịch vụ của khách hàng trong công tác chăm sóc, hỗ trợ khách hàng chuyển đơn vị phối hợp xử lý.","Là việc bán sản phẩm, dịch vụ của Agribank",,2
1737,"Theo Văn bản số 3136/QTr-NHNo-CSKH, đáp án đúng nhất về tin nhắn Chăm sóc khách hàng là?",Là tin nhắn chúc mừng đến khách hàng.,Là tin nhắn tri ân đến khách hàng.,Là tin nhắn thông tin sản phẩm dịch vụ đến khách hàng.,"Là tin nhắn chúc mừng, tri ân, thông tin sản phẩm dịch vụ và các thông báo khác liên quan trực tiếp đến khách hàng.",4
1738,Theo văn hóa Agribank người được chào phải chào lại trong trường hợp nào?,A. Người chào ít tuổi hơn,B. Người chào có chức vụ cao hơn,C. Người chào làm cùng bộ phận,D. Trong tất cả các trường hợp,4
1739,"TheoNghị định số 143/NĐ-CP, mức phạt tiền từ 150 triệu đồng đến 250 triệu đồng đối với  hành vi nào sau đây?",Không báo cáo các giao dịch có giá trị lớn,"Không báo cáo các giao dịch đáng ngờ liên quan đến rửa tiền, tài trợ khủng bố, tài trợ phổ biến vũ khí hủy diệt hàng loạt;",Không báo cáo các giao dịch chuyển tiền điện tử,Tất cả đáp án trên đều đúng,4
1740,"Thiệt hại về tài sản, lợi ích do người lao động gây ra ở mức độ đặc biệt nghiêm trọng là:",A. Thiệt hại có giá trị không quá 10 tháng lương tối thiểu vùng.,B. Thiệt hại có giá trị từ 20 đến 30 tháng lương tối thiểu vùng.,C. Thiệt hại có giá trị trên 10 đến dưới 20 tháng lương tối thiểu vùng.,D. Thiệt hại có giá trị trên 30 tháng lương tối thiểu vùng.,4
1741,"Thiệt hại về tài sản, lợi ích do người lao động gây ra ở mức độ không nghiêm trọng là:",A. Thiệt hại có giá trị không quá 10 tháng lương tối thiểu vùng.,B. Thiệt hại có giá trị trên 10 đến dưới 20 tháng lương tối thiểu vùng.,C. Thiệt hại có giá trị trên 30 tháng lương tối thiểu vùng.,D. Thiệt hại có giá trị từ 20 đến 30 tháng lương tối thiểu vùng.,1
1742,"Thiệt hại về tài sản, lợi ích do người lao động gây ra ở mức độ nghiêm trọng là:",A. Thiệt hại có giá trị từ 20 đến 30 tháng lương tối thiểu vùng.,B. Thiệt hại có giá trị trên 10 đến dưới 20 tháng lương tối thiểu vùng.,C. Thiệt hại có giá trị không quá 10 tháng lương tối thiểu vùng.,D. Thiệt hại có giá trị trên 30 tháng lương tối thiểu vùng.,2
1743,"Thiếu, mất tiền mặt, tài sản quý có giá trị tương đương từ giá trị bao nhiêu phải điện báo ngay về Trụ sở chính Agribank (Ban Tài chính Kế toán) và Chi nhánh NHNN trên địa bàn trong 24 giờ?",20.000.000 đồng (Hai mươi triệu) trở lên.,40.000.000 đồng (Bốn mươi triệu) trở lên,50.000.000 đồng (Năm mươi triệu) trở lên.,100.000.000 đồng (Một trăm triệu)  trở lên,3
1744,Thỏa thuận cho vay là văn bản ký kết giữa Agribank và khách hàng dưới hình thức:,A. Hợp đồng tín dụng/Giấy nhận nợ.,B. Hợp đồng tín dụng/Sổ vay vốn.,C. Sổ vay vốn hoặc Giấy nhận nợ.,D. Hợp đồng hoặc Sổ vay vốn hoặc Giấy nhận nợ hoặc các hình thức khác mà pháp luật không cấm.,2
1745,"Thỏa thuận nào là đúng giữa Agribank và khách hàng về trả nợ gốc, lãi khi khoản vay bị quá hạn:",Thu nợ gốc đồng thời với thu lãi tiền vay,"Thu lãi tiền vay trước, thu nợ gốc sau","Thực hiện theo thứ tự nợ gốc thu trước, nợ lãi thu sau",Cả 02 trường hợp 1 và 2.,3
1746,Thời điểm kiểm tra sử dụng vốn vay của khách hàng cá nhân tại Agribank nơi cho vay được thực hiện:,A. Chậm nhất trong vòng 30 ngày kể từ ngày giải ngân vốn vay.,B. Chậm nhất trong vòng 90 ngày kể từ ngày giải ngân vốn vay.,C. Chậm nhất trong vòng 60 ngày kể từ ngày giải ngân vốn vay.,D. Chậm nhất trong vòng 120 ngày kể từ ngày giải ngân vốn vay.,3
1747,Thời điểm kiểm tra việc sử dụng vốn vay đối với khách hàng vay là pháp nhân tại Agribank nơi cho vay chậm nhất bao nhiêu ngày kể từ ngày giải ngân?,30 ngày.,45 ngày.,60 ngày.,90 ngày.,1
1748,Thời điểm nào tài sản và nguồn vốn của doanh nghiệp bằng nhau,A. Đầu ngày.,B. Tại mọi thời điểm.,C. Cuối ngày.,D. Cuối năm.,2
1749,"Thời điểm nào trong ngày giao dịch, số dư tiền mặt thực tế của Giao dịch viên phải khớp đúng với số dư tồn quỹ tiền mặt của Giao dịch viên đó trên IPCAS?",Đầu ngày giao dịch.,Cuối ngày giao dịch.,Bất kỳ thời điểm nào trong ngày giao dịch.,Đầu giờ giao dịch buổi chiều.,3
1750,Thời điểm ngừng gửi lệnh thanh toán giá trị cao vào ngày làm việc bình thường trong tháng là:,16 giờ 55 phút,16 giờ 50 phút,17 giờ 00,16 giờ 25 phút,1
1751,Thời điểm ngừng gửi lệnh thanh toán giá trị cao vào ngày làm việc cuối tháng là:,16 giờ 55 phút,17 giờ 40 phút,17 giờ 00,16 giờ 30 phút,2
1752,Thời điểm phát sinh quyền và nghĩa vụ của người thừa kế bắt đầu từ lúc nào?,Từ thời điểm có yêu cầu phân chia di sản thừa kế.,Từ thời điểm để lại di chúc.,Từ thời điểm mờ thừa ké.,Từ thời điểm di chúc được công bố.,3
1753,Thời điểm phù hợp để tư vấn về sản phẩm dịch vụ ngân hàng cho khách hàng?,A. Sau khi thực hiện việc chào hỏi với khách hàng.,B. Sau khi lắng nghe và hiểu được về nhu cầu của khách hàng.,C. Sau khi đã đặt câu hỏi để khai thác thông tin và mong muốn của khách hàng.,D. Sau tất cả các bước trên.,4
1754,"Thời gian Agribank nơi cho vay có quyền xử lý tài sản kể từ ngày thông báo về việc xử lý tài sản bảo đảm (trừ tài sản có nguy cơ bị mất giá trị hoặc giảm sút giá trị, quyền đòi nợ; giấy tờ có giá, thẻ tiết kiệm; vận đơn)?",A. Không được trước 15 ngày đối với động sản hoặc 30 ngày đối với bất động sản.,B. Không được trước 07 ngày đối với động sản hoặc 30 ngày đối với bất động sản.,C. Không được trước 10 ngày đối với động sản hoặc 15 ngày đối với bất động sản.,D. Không được trước 07 ngày đối với động sản hoặc 15 ngày đối với bất động sản.,4
1755,Thời gian áp dụng lãi suất cho vay ưu đãi theo văn bản 2596/NHNo-TD ngày 35/4/2020 của Tổng Giám đốc:,A. Tối đa 9 tháng;,B. Tối đa 3 tháng;,C. Tối đa 6 tháng;,D. Tối đa 12 tháng.,3
1756,"Thời gian đơn vị thực hiện giám sát tổng hợp, báo cáo kết quả công tác giám sát do đơn vị mình thực hiện","06 tháng, hàng năm hoặc đột xuất (khi có dấu hiệu bất thường ảnh hưởng đến hoạt động của Agribank",Hàng năm,06 tháng,Hàng quý,1
1757,Thời gian gia hạn tối đa đối với thẻ ghi nợ nội địa tại ATM?,Băng thời hạn hiệu lực của thẻ.,01 tháng.,06 tháng.,01 năm.,2
